description,isic_code,isic_label,isic_description
ubucuruzi bwibinyobwa higanjemo ibisembuye,5630,Bars & beverage serving,Beverage serving activities
Igitara gicururizwaho imyenda n'inkweto,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
cantine icuruza ibinyobwa nibiribwa,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUCURUZI BW'IBIRIBWA MURI SUPERMARKET,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
gucuruza ibinyobwa birimo fanfa jus beer.,5630,Bars & beverage serving,Beverage serving activities
UBUHINZI BW'IBIHINGA BITANDUKANYE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
UBUHINZI N'UBWOROZI BUTUNGA URUGO RWE,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
UBUDANDAZI BWA REESITORA,4721,Specialised food shop,Retail sale of food in specialized stores
UMURIMO WINGENZI NUBUCURUZI BWIBINYOBWA BISEMBUYE BYIGANJEMO IBYA BRARIRWA NA SKOR,5630,Bars & beverage serving,Beverage serving activities
Ubudandazi bw' ubuconco bwiganjemo inkweto zabadamu,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
barogosha abagabo nabagore,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
"ubufandazi bwubuconco bwiganjemo ibitoki ,ibirayi,umuceri",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Akabari gacuruza ubushera,5630,Bars & beverage serving,Beverage serving activities
ubucuru bwa boutique budandaza,4719,"General shop, other goods",Other retail sale in non-specialized stores
UBUDANDAZI BWIGANJEMO IBYO KURYA NO KUNYWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudandazi bwibinyobwa higanjemo ugwagwa,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi bwiganjemo ibikoresho byubwubatsi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
Bacuruza ibinyobwa nibyo kurya (brouchette),5630,Bars & beverage serving,Beverage serving activities
imirimo yerekeranye nokugabura,5630,Bars & beverage serving,Beverage serving activities
"Gutunganya inzara kubakobwa, abahungu",9602,Hairdressing & beauty,Hairdressing and other beauty treatment
Ubucuruzi bwi ndagara nubunyobwa ni birungo,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi budandaza amandazi ni cyayi ahabugenewe,5610,Restaurants & food service,Restaurants and mobile food service activities
Akabari gacuruza ubushera ninzoga zibitoki,5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BUDETAYA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
GUCURUZA INYANYA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
butike,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi budandaza inkweto/boda boda,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubucuruzi buciriritse bwiganjemo ibikoresho byomugikoni namafu nibirayi,4719,"General shop, other goods",Other retail sale in non-specialized stores
Quincaillerie,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
UBUCURUZI BWA BOUTIQUE HIGANJE JUS N'IBIKORESHO BY'ISUKU,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi budandaza bwiganjemo Amafu,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi budandaza hivanzemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudondozi bw'imyenda,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
"ubucuruzi budandaza higanjemo amavuta,ibirayi,isukari",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi budandaza,ibitunguru",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bw amakara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
Umudozi,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
BUTIKE IDANDAZA UBUCONCO,4719,"General shop, other goods",Other retail sale in non-specialized stores
KUDANDAZA IMINEKE,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubudandazi bw amakara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubucuruzi bw'imiti ya amatungo,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
GUCURUZA BADANDAZA IBIRIBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubudandazi bwibiribwa bidatetse byiganjemo imboga,nigitoki.",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Bacuruzaga akabari k'inzoga y' Urwagwa ( Inzoga ziva mu b'itoki),5630,Bars & beverage serving,Beverage serving activities
Gucuruza inzoga zisembuye,5630,Bars & beverage serving,Beverage serving activities
"Ubucuruzi bwibiribwa,umuceri,kawunga,ibishyimbo namavuta yo kurya",4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi buvangavanze,4719,"General shop, other goods",Other retail sale in non-specialized stores
kwakira abantu no kubaha ibyo kunywa,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi bucuruza ubushera ahantu habugenewe,5630,Bars & beverage serving,Beverage serving activities
"gusya amasaka,ibigori,soya,imyumbati",1061,Grain milling,Manufacture of grain mill products
icyuma gisya amasaka,1061,Grain milling,Manufacture of grain mill products
kudandaza ibiribwa n'ibinyobwa muri alimentation,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Ubucuruzi bwibiribwa muri boutique ntoya ( ubugari ,umuceli)",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bw'ubuconco,4719,"General shop, other goods",Other retail sale in non-specialized stores
Gutanga service yo kugaburira abantu ibiribwa bihiye,5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi budandaza bwiganjemo ibiribwa nk ibirayi na kawunga,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Boutique icuruza uduconsho higanjemo ibiribwa)ibinyobwa bisembuye,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi budandaza ibyiganje ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi bwimyendabyabagabo ,mwisokon, amashati amapantalon , amashati ,",4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
UBUHINZI BWOROZI BUGAMIJE UGUTUNGA URUGO,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
