activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
GUCURUZA BADANDAZA AMAKARA,gucuruza badandaza amakara,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUKORA INKWETO MADE IN RWANDA,gukora inkweto made in rwanda,1520,1520,1520,4,4, Manufacture of footwear,Manufacture of footwear, Manufacture of footwear,5555
UBUCURUZI BWIBYO KUNRWA,ubucuruzi bwibyo kunrwa,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
IMIRIMO YO MURUGO,imirimo yo murugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
KUDANDAZA AMANDAZI MU MUHANDA,kudandaza amandazi mu muhanda,4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
UBUHINZI BWOROZI BIGAMIJE GUTUNGA URUGO,ubuhinzi bworozi bigamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
ubucuruzi bwibikoresho byubwubatsi bwiganjemo imbaho namarangi,ubucuruzi bwibikoresho byubwubatsi bwiganjemo imbaho namarangi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
Ubucuruzi budandaza higanjemo ibiribwa,ubucuruzi budandaza higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kudandaza ubuconsho byiganjemo ibiribwa,kudandaza ubuconsho byiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Bacuruza badandaza  Imyenda(Amatiriningi ya Sport),bacuruza badandaza imyenda(amatiriningi ya sport),4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
ubucuruzi bw'icyayi ni mikati,ubucuruzi bw'icyayi ni mikati,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
Ubucuruzi bwibinyobwa bwa Febroniya higanjemo ikigage,ubucuruzi bwibinyobwa bwa febroniya higanjemo ikigage,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
UBUHINZI N'UBWOROZI BW'URUGO,ubuhinzi n'ubworozi bw'urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUCURUZI BUDANDAZA HIBANDWA KUBIRIBWA,ubucuruzi budandaza hibandwa kubiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Kogosha abantu,kogosha abantu,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
KUDANDAZA INKWETO KWIBARAZA,kudandaza inkweto kwibaraza,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
ABAKORA CAKE,abakora cake,1071,1071,1071,4,4,Manufacture of bakery products,Manufacture of bakery products,Manufacture of bakery products,1071
UBWIKOREZI BWO KUBUTAKA,ubwikorezi bwo kubutaka,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
kudoda imyenda mishya ndetse niyacitse,kudoda imyenda mishya ndetse niyacitse,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
"ubucuruzi budandaza bwigangemo umuceri,isoya,amasaka,kawunga","ubucuruzi budandaza bwigangemo umuceri,isoya,amasaka,kawunga",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BWIBIHIMGWA BITANDUKANYE,ubuhinzi bwibihimgwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBUHINZI BW' IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBUHINZI BWIMBUTO(WATER MELON),ubuhinzi bwimbuto(water melon),113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUHINZI BW'IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
kudoda imyenda y'abagabo,kudoda imyenda y'abagabo,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBUHINZI N'UBWOROZI BUTUNGA URUGO RWE,ubuhinzi n'ubworozi butunga urugo rwe,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
gucuruza ibyokurya nokunwa muri cantine,gucuruza ibyokurya nokunwa muri cantine,5629,5629,5629,4,4,Other food service activities,Other food service activities,Other food service activities,5629
URUGANDA RW'INKWETO Z'AMASAYE,uruganda rw'inkweto z'amasaye,9523,9523,9523,4,4, Repair of footwear and leather goods,Repair of footwear and leather goods, Repair of footwear and leather goods,9523
"ubucuruzi budandaza ibicuruzwa byiganjemo ibiribwa nibinyobwa ibisembuye nibidasembuye, icyayi,nibiryo bitetse","ubucuruzi budandaza ibicuruzwa byiganjemo ibiribwa nibinyobwa ibisembuye nibidasembuye, icyayi,nibiryo bitetse",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Uruganda rukora biscuits,uruganda rukora biscuits,1071,1071,1071,4,4,Manufacture of bakery products,Manufacture of bakery products,Manufacture of bakery products,1071
